favorites,retweets,tweet_id
11435,2932,817777686764523521
12608,3327,817536400337801217
0,3716,817502432452313088
36577,16408,817423860136083457
5997,1057,817415592588222464
0,9331,817181837579653120
9324,2206,817171292965273600
13010,2877,817120970343411712
9165,1816,817056546584727552
0,5182,816829038950027264
10686,2234,816816676327063552
10482,2429,816697700272001025
32704,8908,816450570814898180
9192,2146,816336735214911488
9549,2365,816091915477250048
0,1142,816062466425819140
0,5835,816014286006976512
5345,1142,815990720817401858
24012,9331,815966073409433600
0,4547,815745968457060357
10530,2501,815736392542261248
8790,1809,815639385530101762
11081,4181,815390420867969024
8168,1423,814986499976527872
12062,2973,814638523311648768
0,6376,814578408554463233
9275,2035,814530161257443328
30806,9551,814153002265309185
0,3516,813944609378369540
9951,2068,813910438903693312
38917,15398,813812741911748608
8940,1929,813800681631023104
20018,8022,813217897535406080
9831,1975,813202720496779264
21242,4802,813187593374461952
9989,2103,813172488309972993
8308,2440,813157409116065792
9018,2595,813142292504645637
4782,488,813130366689148928
12699,3439,813127251579564032
11062,3029,813112105746448384
11270,3965,813096984823349248
10573,3045,813081950185472002
8528,2143,813066809284972545
22471,8063,813051746834595840
8118,2100,812781120811126785
0,7624,812747805718642688
7106,1572,812709060537683968
6512,1348,812503143955202048
8561,2118,812466873996607488
14685,4031,812372279581671427
7782,1546,811985624773361665
8094,1774,811744202451197953
5981,818,811647686436880384
13716,3446,811627233043480576
22411,7039,811386762094317568
5718,1578,810984652412424192
9701,1969,810896069567610880
11758,2914,810657578271330305
38027,12566,810284430598270976
15756,3694,810254108431155201
16619,4299,809920764300447744
0,5403,809808892968534016
7433,1616,809448704142938112
21389,6191,809220051211603969
14185,3858,809084759137812480
10842,3349,808838249661788160
8492,2390,808733504066486276
12111,2866,808501579447930884
45614,22865,808344865868283904
0,6559,808134635716833280
9357,2415,808106460588765185
13498,3897,808001312164028416
15648,4058,807621403335917568
127492,61220,807106840509214720
0,8080,807059379405148160
14001,4214,807010152071229440
80652,38394,806629075125202948
0,6088,806620845233815552
5203,2118,806576416489959424
10965,2610,806542213899489280
0,12887,806242860592926720
6892,1317,806219024703037440
0,5926,805958939288408065
8882,2109,805932879469572096
7072,2016,805826884734976000
0,8862,805823200554876929
6155,1820,805520635690676224
9412,2794,805487436403003392
8382,1880,805207613751304193
14759,4244,804738756058218496
6603,2216,804475857670639616
0,3551,804413760345620481
47932,17881,804026241225523202
10788,3054,803773340896923648
0,8191,803692223237865472
11796,4562,803638050916102144
8321,2048,803380650405482500
0,5867,803321560782307329
10772,2723,803276597545603072
9701,2217,802952499103731712
0,3230,802624713319034886
7648,1625,802600418706604034
9605,2757,802572683846291456
17463,6438,802323869084381190
7094,1504,802265048156610565
9759,2872,802239329049477120
0,293,802185808107208704
8290,1885,801958328846974976
1887,258,801854953262350336
8818,2269,801538201127157760
6517,919,801285448605831168
26347,6559,801167903437357056
0,4387,801127390143516673
8687,2307,801115127852503040
742,107,800859414831898624
0,1799,800855607700029440
11286,3060,800751577355128832
14122,3318,800513324630806528
10171,2387,800459316964663297
0,4763,800443802682937345
11989,3098,800388270626521089
0,4346,800188575492947969
16448,2828,800141422401830912
30526,14538,800018252395122689
0,5168,799774291445383169
9040,2390,799757965289017345
8647,2114,799422933579902976
0,6107,799308762079035393
10658,3060,799297110730567681
8700,2722,799063482566066176
14156,4946,798933969379225600
7996,1586,798925684722855936
0,7290,798705661114773508
0,8607,798701998996647937
0,7185,798697898615730177
0,5476,798694562394996736
0,2569,798686750113755136
0,5211,798682547630837760
0,6118,798673117451325440
0,4287,798665375516884993
0,2040,798644042770751489
0,2167,798628517273620480
0,6296,798585098161549313
0,6474,798576900688019456
0,3713,798340744599797760
11163,2829,798209839306514432
12527,3468,797971864723324932
15596,5363,797545162159308800
21500,7324,797236660651966464
248,29,797165961484890113
0,9810,796904159865868288
8256,2100,796865951799083009
12776,3376,796759840936919040
0,8057,796563435802726400
8155,1947,796484825502875648
11834,4598,796387464403357696
0,15807,796177847564038144
34819,15807,796149749086875649
5311,1968,796125600683540480
9781,2676,796116448414461957
9095,2565,796080075804475393
11622,4068,796031486298386433
53595,26302,795464331001561088
10872,3165,795400264262053889
17457,5992,795076730285391872
0,3718,794983741416415232
11068,2553,794926597468000259
0,11354,794355576146903043
10298,2921,794332329137291264
9885,3654,794205286408003585
18106,5403,793962221541933056
9893,2069,793845145112371200
0,3441,793614319594401792
8572,1808,793601777308463104
11510,2626,793500921481273345
26486,10164,793286476301799424
9307,2613,793271401113350145
21508,9200,793256262322548741
11315,3615,793241302385262592
10596,3155,793226087023144960
9617,3107,793210959003287553
16424,6207,793195938047070209
7443,2194,793180763617361921
10121,3072,793165685325201412
6635,1883,793150605191548928
6962,2758,793135492858580992
13663,4320,793120401413079041
15421,4435,792913359805018113
12178,4717,792883833364439040
7901,1857,792773781206999040
14483,4732,792394556390137856
7726,1983,792050063153438720
0,23197,791821351946420224
0,10632,791784077045166082
0,4196,791780927877898241
48564,24494,791774931465953280
12644,3441,791672322847637504
14114,4547,791406955684368384
9448,2806,791312159183634433
0,4540,791026214425268224
10644,2359,790987426131050500
17868,5182,790946055508652032
0,2557,790723298204217344
8808,2103,790698755171364864
22227,7922,790581949425475584
8412,2059,790337589677002753
13482,3516,790277117346975746
0,3940,790227638568808452
9950,2557,789986466051088384
0,4572,789960241177853952
11177,4551,789903600034189313
8078,1967,789628658055020548
7273,2137,789599242079838210
12650,3718,789530877013393408
9255,2540,789314372632018944
0,5456,789280767834746880
9796,2840,789268448748703744
10430,3078,789137962068021249
29460,13647,788908386943430656
